,Date,Time,Location,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,Elo_HomeTeam,Elo_AwayTeam,Temperature,Humidity,Wind Speed,Condition
23,2024-04-06,15:00,EGGP,Everton,Burnley,1,0,H,1,0,H,M Oliver,12,6,3,1,11,13,3,5,2,1,0,1,1.65,3.996,5.058,1705.89123535,1640.68640137,56.625,77.29166666666667,20.291666666666668,Fair
24,2024-04-06,12:30,EGLC,Crystal Palace,Man City,2,4,A,1,1,D,P Tierney,7,18,4,8,13,3,2,9,1,1,0,0,10.028,5.468,1.308,1696.79187012,2052.98706055,62.145833333333336,63.270833333333336,14.895833333333334,Fair
25,2024-04-06,15:00,EGBB,Aston Villa,Brentford,3,3,D,1,0,H,M Salisbury,11,8,3,3,15,11,11,3,2,2,0,0,1.6799999999999995,4.128,4.6240000000000006,1838.91540527,1723.59912109,58.43478260869565,73.43478260869566,14.804347826086955,Fair
26,2024-04-06,15:00,EGLC,Fulham,Newcastle,0,1,A,0,0,D,S Allison,14,12,4,5,10,13,14,3,1,2,0,0,2.34,3.804,2.752,1735.20751953,1804.06079102,62.145833333333336,63.270833333333336,14.895833333333334,Fair
27,2024-04-06,15:00,EGGW,Luton,Bournemouth,2,1,H,0,0,D,A Madley,19,8,9,1,7,14,7,2,0,0,0,0,3.66,3.982,1.882,1607.39770508,1723.32531738,58.833333333333336,73.27083333333333,15.458333333333334,Fair
28,2024-04-06,15:00,EGBB,Wolves,West Ham,1,2,A,1,0,H,T Harrington,14,11,7,4,15,7,4,4,5,2,0,0,2.466,3.5419999999999994,2.714,1740.20251465,1784.94665527,58.43478260869565,73.43478260869566,14.804347826086955,Fair
29,2024-04-06,17:30,EGKK,Brighton,Arsenal,0,3,A,0,1,A,J Brooks,10,20,2,7,14,13,8,7,1,2,0,0,5.1,4.184,1.612,1773.06298828,1962.17456055,59.979166666666664,69.89583333333333,13.0,Fair
30,2024-04-04,20:15,EGLC,Chelsea,Man United,4,3,H,2,2,D,J Gillett,28,19,10,5,7,15,12,3,3,0,0,0,1.996,4.026,3.2939999999999996,1784.17675781,1813.32507324,55.5,76.9375,12.541666666666666,Mostly Cloudy
31,2024-04-04,19:30,EGGP,Liverpool,Sheffield United,3,1,H,1,0,H,S Attwell,29,8,9,3,6,9,13,1,0,1,0,0,1.076,12.466,23.074,1970.45556641,1581.9519043,50.19565217391305,85.1304347826087,6.260869565217392,Light Rain
32,2024-04-03,20:15,EGCC,Man City,Aston Villa,4,1,H,2,1,H,D England,25,8,11,3,6,13,2,3,1,2,0,0,1.296,5.924,8.876000000000001,2048.39575195,1843.50671387,49.854166666666664,87.5625,9.145833333333334,Mostly Cloudy
